time_period,time_identifier,geographic_level,country_code,country_name,subject_name,subject_sector_area,characteristic_type,characteristic_value,characteristic_gender,astar_grade_achieved,a_grade_achieved,b_grade_achieved,c_grade_achieved,d_grade_achieved,e_grade_achieved,u_grade_achieved,total_students
201920,Academic year,National,E92000001,England,Account and finance,"Business, Administration, Finance and Law",Disadvantage,Disadvantaged,Female,3,15,33,23,17,10,4,105
201920,Academic year,National,E92000001,England,Account and finance,"Business, Administration, Finance and Law",Disadvantage,Disadvantaged,Male,10,33,56,70,58,22,4,253
201920,Academic year,National,E92000001,England,Art and design,"Arts, Media and Publishing",Disadvantage,Disadvantaged,Female,321,616,1102,760,231,59,14,3106
201920,Academic year,National,E92000001,England,Art and design,"Arts, Media and Publishing",Disadvantage,Disadvantaged,Male,65,153,290,327,140,41,8,1025
201920,Academic year,National,E92000001,England,Biological sciences,Science and Mathematics,Disadvantage,Disadvantaged,Female,282,774,1130,1187,667,300,26,4367
201920,Academic year,National,E92000001,England,Biological sciences,Science and Mathematics,Disadvantage,Disadvantaged,Male,171,386,523,627,425,203,22,2359
201920,Academic year,National,E92000001,England,Business studies,"Business, Administration, Finance and Law",Disadvantage,Disadvantaged,Female,59,203,455,470,228,68,10,1493
201920,Academic year,National,E92000001,England,Business studies,"Business, Administration, Finance and Law",Disadvantage,Disadvantaged,Male,68,249,640,751,358,124,13,2204
201920,Academic year,National,E92000001,England,Chemistry,Science and Mathematics,Disadvantage,Disadvantaged,Female,174,622,932,927,498,194,18,3365
201920,Academic year,National,E92000001,England,Chemistry,Science and Mathematics,Disadvantage,Disadvantaged,Male,211,517,610,614,414,177,22,2565
201920,Academic year,National,E92000001,England,Computing,Information and Communication Technology (ICT),Disadvantage,Disadvantaged,Female,16,37,54,65,26,12,0,210
201920,Academic year,National,E92000001,England,Computing,Information and Communication Technology (ICT),Disadvantage,Disadvantaged,Male,95,228,323,302,210,81,9,1248
201920,Academic year,National,E92000001,England,Design and technology,Engineering and Manufacturing Technologies,Disadvantage,Disadvantaged,Female,19,58,80,81,31,13,1,284
201920,Academic year,National,E92000001,England,Design and technology,Engineering and Manufacturing Technologies,Disadvantage,Disadvantaged,Male,16,59,128,183,96,40,6,528
201920,Academic year,National,E92000001,England,Drama,"Arts, Media and Publishing",Disadvantage,Disadvantaged,Female,32,136,229,213,50,11,2,673
201920,Academic year,National,E92000001,England,Drama,"Arts, Media and Publishing",Disadvantage,Disadvantaged,Male,8,29,81,84,27,8,1,238
201920,Academic year,National,E92000001,England,Economics,Social Sciences,Disadvantage,Disadvantaged,Female,72,217,334,300,101,27,2,1053
201920,Academic year,National,E92000001,England,Economics,Social Sciences,Disadvantage,Disadvantaged,Male,116,344,606,630,295,95,14,2100
201920,Academic year,National,E92000001,England,French,"Other languages, literature and culture",Disadvantage,Disadvantaged,Female,43,126,125,114,46,18,0,472
201920,Academic year,National,E92000001,England,French,"Other languages, literature and culture",Disadvantage,Disadvantaged,Male,15,34,46,31,14,6,0,146
201920,Academic year,National,E92000001,England,Further maths,Science and Mathematics,Disadvantage,Disadvantaged,Female,59,75,53,35,11,4,0,237
201920,Academic year,National,E92000001,England,Further maths,Science and Mathematics,Disadvantage,Disadvantaged,Male,230,235,164,104,43,16,1,793
201920,Academic year,National,E92000001,England,General studies,Preparation for Life and Work,Disadvantage,Disadvantaged,Male,0,0,0,0,0,0,2,2
201920,Academic year,National,E92000001,England,Geography,Social Sciences,Disadvantage,Disadvantaged,Female,78,218,283,279,135,40,4,1038
201920,Academic year,National,E92000001,England,Geography,Social Sciences,Disadvantage,Disadvantaged,Male,37,94,265,282,173,61,6,918
201920,Academic year,National,E92000001,England,German,"Other languages, literature and culture",Disadvantage,Disadvantaged,Female,14,42,37,19,8,2,0,122
201920,Academic year,National,E92000001,England,German,"Other languages, literature and culture",Disadvantage,Disadvantaged,Male,5,15,14,9,6,2,0,51
201920,Academic year,National,E92000001,England,Government and politics,Social Sciences,Disadvantage,Disadvantaged,Female,103,233,372,393,159,59,10,1329
201920,Academic year,National,E92000001,England,Government and politics,Social Sciences,Disadvantage,Disadvantaged,Male,56,135,234,248,131,39,9,852
201920,Academic year,National,E92000001,England,History,"History, Philosophy and Theology",Disadvantage,Disadvantaged,Female,155,540,897,762,346,97,4,2801
201920,Academic year,National,E92000001,England,History,"History, Philosophy and Theology",Disadvantage,Disadvantaged,Male,65,244,449,554,303,67,3,1685
201920,Academic year,National,E92000001,England,Law,"Business, Administration, Finance and Law",Disadvantage,Disadvantaged,Female,103,232,379,398,183,86,20,1401
201920,Academic year,National,E92000001,England,Law,"Business, Administration, Finance and Law",Disadvantage,Disadvantaged,Male,29,92,156,201,123,57,10,668
201920,Academic year,National,E92000001,England,Media film TV,"Arts, Media and Publishing",Disadvantage,Disadvantaged,Female,40,192,485,436,128,21,3,1307
201920,Academic year,National,E92000001,England,Media film TV,"Arts, Media and Publishing",Disadvantage,Disadvantaged,Male,8,62,241,358,154,28,3,855
201920,Academic year,National,E92000001,England,Music,"Arts, Media and Publishing",Disadvantage,Disadvantaged,Female,4,22,49,46,33,9,0,163
201920,Academic year,National,E92000001,England,Music,"Arts, Media and Publishing",Disadvantage,Disadvantaged,Male,6,18,43,44,20,8,1,140
201920,Academic year,National,E92000001,England,Other communication studies,"Arts, Media and Publishing",Disadvantage,Disadvantaged,Female,20,73,176,146,56,8,0,479
201920,Academic year,National,E92000001,England,Other communication studies,"Arts, Media and Publishing",Disadvantage,Disadvantaged,Male,10,37,119,124,74,10,1,377
201920,Academic year,National,E92000001,England,Other sciences,Science and Mathematics,Disadvantage,Disadvantaged,Female,6,9,20,18,5,8,0,66
201920,Academic year,National,E92000001,England,Other sciences,Science and Mathematics,Disadvantage,Disadvantaged,Male,11,25,29,33,22,10,0,130
201920,Academic year,National,E92000001,England,Other social studies,Social Sciences,Disadvantage,Disadvantaged,Female,13,27,49,49,39,15,0,192
201920,Academic year,National,E92000001,England,Other social studies,Social Sciences,Disadvantage,Disadvantaged,Male,7,16,26,24,14,10,0,97
201920,Academic year,National,E92000001,England,Physical education,"Leisure, Travel and Tourism",Disadvantage,Disadvantaged,Female,25,46,88,86,33,10,1,289
201920,Academic year,National,E92000001,England,Physical education,"Leisure, Travel and Tourism",Disadvantage,Disadvantaged,Male,11,43,101,113,71,16,1,356
201920,Academic year,National,E92000001,England,Physics,Science and Mathematics,Disadvantage,Disadvantaged,Female,52,98,152,145,98,49,5,599
201920,Academic year,National,E92000001,England,Physics,Science and Mathematics,Disadvantage,Disadvantaged,Male,212,438,610,556,407,200,20,2443
201920,Academic year,National,E92000001,England,Psychology,Science and Mathematics,Disadvantage,Disadvantaged,Female,415,1136,1911,2018,946,297,42,6766
201920,Academic year,National,E92000001,England,Psychology,Science and Mathematics,Disadvantage,Disadvantaged,Male,66,244,497,732,493,207,19,2258
201920,Academic year,National,E92000001,England,Religious studies,"History, Philosophy and Theology",Disadvantage,Disadvantaged,Female,95,319,532,552,216,84,10,1809
201920,Academic year,National,E92000001,England,Religious studies,"History, Philosophy and Theology",Disadvantage,Disadvantaged,Male,35,67,122,151,92,22,1,490
201920,Academic year,National,E92000001,England,Sociology,Social Sciences,Disadvantage,Disadvantaged,Female,397,999,1824,1655,689,190,30,5786
201920,Academic year,National,E92000001,England,Sociology,Social Sciences,Disadvantage,Disadvantaged,Male,52,164,392,493,263,80,8,1452
201920,Academic year,National,E92000001,England,Spanish,"Other languages, literature and culture",Disadvantage,Disadvantaged,Female,76,148,161,104,45,6,0,540
201920,Academic year,National,E92000001,England,Spanish,"Other languages, literature and culture",Disadvantage,Disadvantaged,Male,36,60,63,33,20,6,0,218
201920,Academic year,National,E92000001,England,Total classical studies,"Other languages, literature and culture",Disadvantage,Disadvantaged,Female,12,40,62,49,21,4,1,189
201920,Academic year,National,E92000001,England,Total classical studies,"Other languages, literature and culture",Disadvantage,Disadvantaged,Male,4,13,25,25,7,5,0,79
201920,Academic year,National,E92000001,England,Total English,"Languages, literature and culture of the British isles",Disadvantage,Disadvantaged,Female,347,974,1848,2135,857,138,12,6311
201920,Academic year,National,E92000001,England,Total English,"Languages, literature and culture of the British isles",Disadvantage,Disadvantaged,Male,77,192,486,584,287,68,4,1698
201920,Academic year,National,E92000001,England,Total maths,Science and Mathematics,Disadvantage,Disadvantaged,Female,357,745,802,712,423,211,23,3273
201920,Academic year,National,E92000001,England,Total maths,Science and Mathematics,Disadvantage,Disadvantaged,Male,837,1068,1024,1054,717,435,70,5205
201920,Academic year,National,E92000001,England,Total Other modern languages,"Other languages, literature and culture",Disadvantage,Disadvantaged,Female,74,123,89,49,14,9,9,367
201920,Academic year,National,E92000001,England,Total Other modern languages,"Other languages, literature and culture",Disadvantage,Disadvantaged,Male,34,63,59,42,22,5,9,234
201920,Academic year,National,E92000001,England,Account and finance,"Business, Administration, Finance and Law",Disadvantage,Non-Disadvantaged,Female,33,82,124,129,60,33,5,466
201920,Academic year,National,E92000001,England,Account and finance,"Business, Administration, Finance and Law",Disadvantage,Non-Disadvantaged,Male,49,193,260,320,204,88,7,1121
201920,Academic year,National,E92000001,England,Art and design,"Arts, Media and Publishing",Disadvantage,Non-Disadvantaged,Female,3467,4780,5978,3203,692,149,14,18285
201920,Academic year,National,E92000001,England,Art and design,"Arts, Media and Publishing",Disadvantage,Non-Disadvantaged,Male,853,1174,2061,1469,528,107,9,6201
201920,Academic year,National,E92000001,England,Biological sciences,Science and Mathematics,Disadvantage,Non-Disadvantaged,Female,3362,6388,6858,6000,3101,1059,74,26846
201920,Academic year,National,E92000001,England,Biological sciences,Science and Mathematics,Disadvantage,Non-Disadvantaged,Male,1802,3212,3638,3523,2081,779,70,15107
201920,Academic year,National,E92000001,England,Business studies,"Business, Administration, Finance and Law",Disadvantage,Non-Disadvantaged,Female,721,1877,3053,2613,943,261,21,9490
201920,Academic year,National,E92000001,England,Business studies,"Business, Administration, Finance and Law",Disadvantage,Non-Disadvantaged,Male,743,2400,4510,4382,1693,381,33,14144
